Age,Gender,Previous_GPA,Attendance,Study_Hours_PerWeek,Major,Uni_Type,Financial_Status,Motivation,Stress_Levels,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Hours_PerDay,Nutrition,Screen_Time_PerDay,Educational_Tech_Use,Bullying,Learning_Style,Lack_of_Interest,GPA
19,,,83,5,,Public,,Low,Medium,High,80,No,9,Healthy,,,Yes,,Medium,2.7
21,M,3.7,81,,Medicine,Private,Low,High,Medium,Medium,100,No,4,Unhealthy,4,Yes,No,Auditory,High,1.3
18,M,3,74,5,Law,Private,,High,Medium,Medium,21,Yes,8,Balanced,5,Yes,No,Visual,High,1
20,F,2,94,7,Engineering,Public,Medium,Medium,Low,High,95,,5,Unhealthy,6,Yes,No,Auditory,Low,2.3
18,F,2.7,89,10,Arts,Private,Medium,High,High,High,64,Yes,7,Healthy,4,Yes,Yes,Kinesthetic,Medium,4
19,M,3.3,100,14,Arts,Private,Medium,High,Medium,Medium,22,No,6,Unhealthy,2,,No,Visual,High,
18,F,,92,14,Engineering,Public,High,High,Medium,High,83,Yes,9,Unhealthy,8,Yes,No,Visual,Low,2
19,F,3.7,77,16,Medicine,Private,High,,High,Low,79,No,7,Healthy,4,No,Yes,Visual,,3.7
21,M,1.7,93,13,Arts,Private,Medium,High,High,Low,32,No,5,Healthy,2,No,Yes,Visual,Low,2.7
22,M,2,94,6,Medicine,Public,Low,Low,Low,Low,24,Yes,5,Healthy,4,Yes,Yes,Kinesthetic,High,2
19,F,2.3,92,9,Engineering,Private,High,High,High,,48,No,6,Balanced,8,Yes,Yes,Kinesthetic,High,1.7
18,M,2,,13,Business,Public,Low,Medium,High,High,,No,7,Healthy,3,Yes,Yes,Auditory,Medium,3.3
19,F,2.7,90,11,Law,,Medium,Low,Medium,High,74,Yes,6,Healthy,7,No,Yes,Auditory,,2.3
20,M,2.7,75,13,Law,Public,Low,High,Low,High,43,No,4,Unhealthy,3,,Yes,Auditory,High,3.3
22,F,2.7,76,5,Arts,Public,High,Low,Medium,Low,84,No,6,Balanced,4,Yes,Yes,Kinesthetic,Low,3.3
20,F,1.3,96,7,Science,Public,High,Low,Medium,Low,81,Yes,8,Balanced,5,Yes,No,Visual,Medium,3
18,M,3.3,81,13,,Public,Medium,Medium,Low,Low,34,Yes,8,Unhealthy,7,Yes,Yes,Auditory,Medium,1.3
18,,,99,13,Engineering,Public,Medium,High,High,Medium,83,No,6,Balanced,4,No,No,Kinesthetic,Medium,2.3
20,M,4,95,,Law,Private,Medium,High,Low,Medium,45,No,5,Balanced,9,No,No,Visual,Medium,4
21,F,2.7,79,11,Business,Private,Low,Medium,High,Medium,49,Yes,7,,2,Yes,Yes,Visual,Low,2.3
19,F,,86,15,Science,Public,Medium,Low,Medium,Low,70,Yes,4,Balanced,10,No,No,Auditory,Low,
22,M,2.3,72,8,Engineering,Private,Low,High,High,High,20,,4,Balanced,7,,No,,Medium,3.7
18,F,3.7,75,7,Engineering,Private,Medium,,Medium,Low,48,No,6,Balanced,5,Yes,No,Visual,Medium,1.7
22,M,1.3,76,17,Medicine,Private,Low,High,Low,Low,36,Yes,,,4,No,No,Kinesthetic,High,1.7
21,M,1,83,14,Law,Private,,Low,Medium,Medium,72,No,4,Unhealthy,3,Yes,Yes,Kinesthetic,Medium,2.7
,M,3,87,6,Arts,Private,Low,,Medium,Medium,23,No,5,Unhealthy,10,Yes,Yes,Kinesthetic,Low,4
20,M,3.3,74,8,Law,Private,Medium,Medium,,High,86,Yes,9,Unhealthy,9,Yes,Yes,Auditory,Low,
22,F,1.3,73,6,,Public,Medium,Low,Medium,Medium,42,Yes,,Balanced,4,No,No,Auditory,Medium,
19,F,4,87,17,Arts,Private,,Low,Medium,High,83,Yes,4,Balanced,4,,No,Auditory,Low,1.7
19,F,3.7,83,20,,Private,Low,Medium,High,,55,No,8,Healthy,8,No,No,Auditory,High,3
20,F,2.3,,17,Arts,Private,High,Low,Medium,,59,Yes,9,Unhealthy,3,Yes,Yes,Kinesthetic,Low,
20,F,,98,11,,Public,Low,Low,Low,Low,86,No,5,Balanced,8,Yes,No,Visual,Low,4
20,F,4,83,12,Science,Public,High,Low,Medium,Low,52,,6,Balanced,,Yes,No,Kinesthetic,Low,1.7
20,F,2.7,71,15,Business,,,High,Medium,Medium,54,No,4,Balanced,,,Yes,Kinesthetic,,3
18,,3.7,87,5,Business,Private,Low,,Medium,Low,79,Yes,4,Unhealthy,2,Yes,Yes,Kinesthetic,High,1
21,M,3.7,,19,Business,Public,Low,High,High,Medium,56,,4,Healthy,2,Yes,,,Low,4
18,F,,96,,Law,Private,Medium,Low,High,Medium,22,No,6,Balanced,6,No,No,Auditory,Low,4
20,M,1.7,95,,Law,Private,High,Low,High,High,54,Yes,4,,7,No,No,Auditory,,1
19,M,2,,12,Engineering,Public,Medium,Low,High,Medium,35,No,7,Balanced,7,No,No,Kinesthetic,High,3
22,M,1.7,97,11,,Private,Low,High,,Low,59,No,8,Balanced,6,No,No,,Low,3.3
,F,3.7,87,13,Medicine,Private,High,,Medium,Low,73,Yes,5,Unhealthy,8,Yes,Yes,Kinesthetic,Medium,
22,F,3.3,93,9,Business,Private,High,Low,Low,Medium,63,No,,,3,Yes,No,Auditory,Low,2.3
20,M,2.3,82,9,Medicine,Public,Low,Medium,Low,High,36,Yes,6,Healthy,3,No,Yes,Visual,High,2.7
,,1,98,10,Arts,,,Medium,Medium,Medium,82,No,4,Healthy,10,Yes,No,Visual,High,1.7
19,F,1.7,82,9,Science,Public,Low,Medium,High,Low,42,Yes,9,Balanced,4,Yes,No,Kinesthetic,Low,2
18,F,1.3,72,12,Business,Private,Medium,Low,High,,96,No,7,Healthy,9,Yes,No,Kinesthetic,High,2.7
22,F,,89,19,Business,Private,Low,Medium,Low,High,23,No,9,Unhealthy,10,No,No,Visual,Medium,1
19,M,1,87,18,Science,Private,Medium,High,High,High,36,No,,Unhealthy,5,No,Yes,Auditory,Low,
20,F,2.3,,14,Law,Public,Medium,Low,High,Medium,24,No,9,Balanced,7,Yes,No,,Medium,4
19,M,1.3,72,6,Medicine,Private,High,High,High,High,81,No,4,Balanced,4,No,No,Visual,High,3.7
19,F,2.3,72,5,Medicine,Public,High,High,,Medium,66,Yes,7,Balanced,7,Yes,,Visual,Medium,2.7
22,F,3.3,78,7,Medicine,Private,High,,Medium,Low,23,No,7,Unhealthy,4,No,No,Kinesthetic,Medium,4
,,2.3,99,7,Medicine,,Low,High,Medium,High,30,No,4,,10,No,Yes,Visual,High,2.7
22,F,2,76,12,Medicine,,High,Low,High,Low,84,Yes,8,Balanced,4,Yes,No,Visual,High,1.7
20,M,,86,19,Medicine,,Low,Medium,Medium,Medium,,Yes,7,Healthy,10,No,Yes,,Medium,2.7
19,F,2.3,88,12,Law,Public,Medium,,Low,High,75,No,5,Healthy,6,Yes,Yes,Kinesthetic,Low,1
22,M,2,,5,Engineering,Public,Medium,High,Medium,High,66,Yes,5,Balanced,6,Yes,No,Auditory,High,2.3
21,M,,82,,Business,Public,Medium,Medium,Low,Low,96,Yes,4,Balanced,8,No,No,Visual,High,1
20,M,1,74,18,Law,Private,Low,Low,High,Medium,33,No,7,Healthy,10,,Yes,Auditory,Low,
22,F,2,76,20,Law,Public,Medium,Medium,High,Low,77,Yes,5,Unhealthy,5,No,No,Visual,Medium,2
20,F,1.3,100,,Engineering,Private,High,Medium,Medium,Medium,53,No,8,Unhealthy,4,No,No,Visual,Medium,3.3
19,,1.7,100,7,Engineering,,High,Medium,Low,Low,54,,7,Balanced,5,Yes,,Visual,Low,1.7
,F,2,75,10,Engineering,Private,Low,Low,Low,Low,94,No,7,Balanced,8,Yes,Yes,Kinesthetic,High,1.3
19,F,2,70,19,Medicine,Private,Low,High,Low,Medium,76,,9,Balanced,,,Yes,Auditory,Low,3.7
19,M,2.3,87,19,Business,Public,,Medium,Low,,40,No,5,Balanced,2,No,Yes,Auditory,,2.7
18,M,,,14,Science,Private,,,High,Low,97,No,9,Unhealthy,2,Yes,Yes,Auditory,High,3.3
18,M,2.7,79,15,Medicine,Public,Medium,Medium,High,Low,76,No,7,,8,No,No,,Medium,2
19,M,4,92,5,,Public,,Low,Low,High,74,Yes,7,Balanced,7,No,No,Kinesthetic,Low,2
21,F,,100,20,Law,Private,High,High,High,Medium,76,Yes,7,Healthy,10,Yes,No,,Medium,
,M,2.3,,14,Medicine,Private,Low,,Low,Low,57,No,8,Healthy,,No,Yes,Visual,Medium,2.3
19,F,4,86,16,Arts,Private,Low,High,Medium,Low,80,Yes,9,Balanced,7,Yes,No,Visual,High,3.7
21,M,3.7,,14,Science,,Medium,Low,High,Low,69,Yes,5,Unhealthy,9,No,No,Auditory,High,3.3
18,F,3.7,92,18,Medicine,Private,High,High,High,High,59,Yes,8,Balanced,8,Yes,Yes,,High,3
22,M,4,93,13,Science,,High,Medium,Medium,Medium,27,,4,Unhealthy,5,Yes,,Visual,Low,4
21,F,4,81,6,Law,Public,High,High,,Low,51,No,6,Healthy,8,No,Yes,Visual,High,3
22,M,1.3,93,15,Engineering,Public,Medium,Low,Medium,High,94,Yes,4,Balanced,2,Yes,Yes,Kinesthetic,High,1.7
20,F,2.7,94,20,Science,Public,Low,Low,Low,High,32,No,,Unhealthy,4,Yes,No,Kinesthetic,Low,4
22,F,2,98,6,Medicine,Private,,High,Medium,Medium,53,Yes,5,Balanced,6,Yes,Yes,,High,3.7
,F,2,91,16,Medicine,Private,High,Low,Low,,80,No,4,,3,Yes,No,Visual,Medium,
21,F,2.3,99,15,Law,Private,Low,Medium,High,Medium,83,No,9,Balanced,4,Yes,No,Auditory,High,3.7
21,,3.3,,10,Medicine,Private,High,Low,Low,Medium,88,No,4,Unhealthy,3,Yes,Yes,Auditory,,2.7
19,F,3.3,94,,Science,Public,Low,Low,High,Medium,39,Yes,9,Unhealthy,6,No,No,Visual,Medium,
20,M,1.3,72,8,Engineering,,Low,Medium,High,Low,52,Yes,8,Unhealthy,5,,No,,Medium,2.3
,,3,71,19,Medicine,Public,Medium,High,Low,High,44,Yes,4,Healthy,6,Yes,No,Visual,,2
19,F,2,79,16,Business,Public,High,Low,High,Low,89,Yes,8,Healthy,2,Yes,No,Kinesthetic,Medium,
22,M,1,72,14,Science,Private,Low,High,High,Medium,71,No,9,Unhealthy,,Yes,No,Visual,High,
21,F,3,,6,Arts,Private,Low,Medium,High,High,26,No,8,Balanced,8,,Yes,Visual,Medium,1.3
19,M,1.7,71,16,Science,Public,High,,High,Low,45,No,9,Unhealthy,3,No,Yes,Visual,,2
22,M,2.3,100,12,Business,Public,Low,,Medium,Medium,,No,5,Healthy,5,,Yes,Auditory,Low,2.7
18,,3.3,97,18,Engineering,Private,Medium,Medium,Low,Low,46,Yes,7,Balanced,8,No,Yes,Kinesthetic,,3
21,M,3,88,14,Business,Private,Medium,High,Low,Medium,83,No,,Unhealthy,9,,No,Auditory,Low,2.7
21,F,1.3,98,12,Law,Public,Low,Low,Low,Medium,55,No,,Balanced,7,Yes,Yes,Kinesthetic,Medium,3.7
,F,1.3,82,8,Science,Private,High,Low,Medium,Low,30,Yes,6,Unhealthy,10,Yes,,Kinesthetic,Medium,4
19,M,3.3,78,6,Engineering,Private,,Medium,Medium,Medium,83,Yes,4,Unhealthy,2,No,No,Auditory,High,2
19,M,,73,9,Business,Public,Medium,Low,Medium,Medium,81,Yes,5,Healthy,6,No,Yes,Visual,Medium,3.3
22,M,3.3,93,9,Arts,Private,High,Low,Low,High,97,No,9,Unhealthy,2,Yes,No,Auditory,High,2.7
19,M,,87,20,Business,Private,High,Medium,Medium,Medium,20,,4,Healthy,4,Yes,No,Auditory,Medium,
19,M,1.3,73,15,Law,Private,Low,Medium,Low,Medium,89,Yes,4,Unhealthy,3,Yes,No,Auditory,Low,2.7
21,F,1.7,87,14,Engineering,Private,Low,Medium,Low,,92,No,4,Healthy,2,No,Yes,Auditory,Low,3
22,F,2,86,13,Arts,Private,Medium,Medium,Medium,Low,61,No,6,,2,Yes,Yes,Visual,Medium,1.3
21,M,1.3,80,18,Law,Private,Medium,Low,Medium,Low,56,No,4,Healthy,8,Yes,Yes,Kinesthetic,High,
18,M,3,81,18,Business,Private,Low,,Low,Medium,40,No,5,Unhealthy,6,Yes,Yes,Visual,Medium,2.3
20,F,1.3,79,15,Law,Private,Low,High,Medium,Low,,Yes,8,,6,No,Yes,Kinesthetic,Medium,3.7
21,M,2.3,77,19,Arts,Public,Low,Medium,Low,Medium,27,No,6,Healthy,9,Yes,Yes,Kinesthetic,High,2.7
22,M,1.3,92,15,Law,Public,Low,Medium,Medium,Medium,66,Yes,7,Unhealthy,6,No,No,Visual,,1
19,M,2,80,5,Medicine,Private,Low,Medium,High,Medium,64,,8,Balanced,7,No,No,,Medium,1.7
21,M,2.3,76,,Science,Private,High,High,,Medium,71,Yes,9,Unhealthy,5,No,No,Visual,Low,3
20,F,4,98,10,Science,Public,Medium,Medium,Low,High,23,Yes,9,Balanced,8,,No,Auditory,High,4
21,F,1,71,9,Science,Public,High,Medium,Low,High,70,No,6,Unhealthy,,Yes,,Visual,High,1.3
22,F,3.3,83,8,Arts,Public,Low,Low,Medium,High,93,No,8,Healthy,2,No,No,Kinesthetic,High,3.3
,M,1,75,6,Business,Private,Low,Low,Medium,Medium,,No,6,Healthy,6,No,Yes,,Low,2.3
22,F,2.3,74,19,Medicine,Public,High,,Medium,Medium,95,No,8,Unhealthy,,No,No,Auditory,Medium,3
22,M,2.3,89,11,Arts,Public,Medium,Medium,Low,,31,No,,Healthy,5,,Yes,Auditory,High,1
21,M,2,98,11,Science,Public,Medium,High,Medium,Low,41,Yes,,Healthy,6,Yes,Yes,Auditory,Medium,1.7
18,M,3,79,19,Science,Public,High,High,Low,Medium,69,No,9,Balanced,5,Yes,,Kinesthetic,Medium,3.3
19,M,2,96,7,Science,Public,High,,High,Medium,72,Yes,,Balanced,5,No,Yes,Auditory,High,1
20,F,2,81,16,Medicine,Public,Low,,Low,Medium,42,Yes,7,,,Yes,No,Auditory,High,1
21,M,2.7,96,16,Arts,,,High,High,,,No,6,Healthy,3,No,Yes,Visual,High,
19,F,,88,11,Business,Public,Low,Medium,Medium,High,67,Yes,7,Unhealthy,7,No,No,Auditory,High,1.3
22,F,4,100,17,,Private,Low,Medium,Medium,Low,92,No,6,Unhealthy,7,No,No,Auditory,High,1
21,M,1.3,77,16,Law,Public,Low,Low,Low,High,,No,6,Healthy,,No,No,Visual,Low,1
21,F,2.7,86,17,Arts,Private,Medium,High,High,Low,67,Yes,5,Unhealthy,3,No,No,Visual,Low,2
19,M,3.3,97,5,Engineering,Public,,Low,High,,86,Yes,4,Balanced,5,No,Yes,Auditory,Low,3.3
22,F,1.7,83,8,Business,Private,Low,,Medium,Medium,28,,4,Unhealthy,,Yes,No,Kinesthetic,Medium,3.7
22,M,,94,17,Science,Public,Low,,Medium,High,90,Yes,7,,10,No,Yes,Visual,,1.3
20,M,3.3,96,6,Medicine,Public,High,Medium,Low,Low,21,No,7,Healthy,,Yes,Yes,Auditory,Low,2.7
18,F,,73,18,Arts,Private,Low,,Medium,Medium,79,Yes,8,Healthy,4,No,Yes,Kinesthetic,Medium,4
20,,2.3,94,14,Science,Private,Medium,High,Low,Medium,71,Yes,8,Healthy,6,No,No,Auditory,High,4
21,M,3,95,9,Law,Public,,Medium,,High,56,Yes,9,Balanced,9,Yes,No,Visual,Low,1.3
19,M,,70,10,Law,Public,Medium,High,Low,,21,Yes,4,,5,Yes,Yes,Visual,,1
19,F,1.7,92,15,Medicine,Private,Medium,Low,Medium,Medium,41,No,6,Healthy,8,No,No,Kinesthetic,High,2.3
20,M,1.7,80,14,Science,Private,,Medium,High,,25,,9,Unhealthy,10,Yes,Yes,Visual,High,4
20,M,1,90,15,Arts,Private,High,Medium,,High,32,No,,Balanced,4,Yes,Yes,Visual,High,2
21,M,,75,13,Law,Public,Low,Low,Low,High,51,No,4,Healthy,5,Yes,,Visual,Medium,2.3
19,F,3.7,83,8,,,High,Medium,High,Medium,51,No,6,Unhealthy,5,No,No,,Low,2
18,F,3.3,100,17,Arts,Private,Low,High,High,Medium,25,,6,Healthy,4,No,No,,Medium,4
21,F,1,98,12,Law,Public,Low,Medium,Low,Medium,82,No,6,Healthy,9,Yes,No,Kinesthetic,Low,
20,M,2,70,9,Science,Private,Low,Medium,High,Low,62,No,8,Healthy,2,Yes,No,Visual,Low,1.7
19,F,1,99,15,Arts,Public,Medium,Medium,High,Medium,57,No,8,,2,Yes,No,Auditory,Medium,1.7
21,M,3,81,16,Science,Private,Low,High,Medium,Medium,65,No,5,Unhealthy,10,Yes,No,Auditory,Low,1.7
22,M,,98,15,Arts,Public,,Medium,Medium,Medium,55,Yes,7,Balanced,2,Yes,Yes,Visual,High,
21,F,3.3,87,20,Arts,Private,Medium,Low,Low,High,43,Yes,6,Balanced,2,No,No,Kinesthetic,High,3.3
,F,1.3,88,7,Engineering,Public,,Medium,Low,High,37,No,7,Unhealthy,2,No,Yes,Visual,High,1.3
21,M,,87,5,Business,Public,High,Medium,Low,Low,21,Yes,4,Balanced,7,Yes,No,Auditory,Medium,2.7
20,M,2.7,72,8,Arts,Private,Low,Low,Medium,Medium,91,Yes,4,Balanced,2,Yes,Yes,Kinesthetic,Low,2.7
18,M,4,78,,,Private,Medium,Low,High,Medium,20,Yes,,Balanced,,No,Yes,Visual,High,2.3
20,,2,78,7,Medicine,Private,Low,High,Low,High,68,Yes,4,Unhealthy,9,Yes,,Kinesthetic,High,
18,F,3.7,,20,Medicine,Public,Low,,High,High,,Yes,4,Balanced,9,No,Yes,Visual,High,1.3
22,M,2.7,90,9,Law,Public,,Medium,Low,High,38,No,4,Balanced,10,No,No,Auditory,Medium,
22,F,1.3,72,13,Law,Public,Low,Low,Medium,Low,69,Yes,8,Unhealthy,,No,Yes,Visual,Medium,1.3
18,F,1.3,92,7,Business,Private,Low,Medium,High,Low,65,Yes,7,Healthy,5,,No,Auditory,High,2.3
21,F,1.7,93,7,Medicine,Public,Low,,High,High,67,Yes,5,Healthy,10,No,No,Visual,Low,4
20,M,1.7,90,19,Business,Public,Low,,Medium,High,40,Yes,7,Unhealthy,4,Yes,No,Kinesthetic,Medium,1.3
19,F,2.3,,20,Business,Public,Medium,High,Low,High,32,No,5,Balanced,10,No,Yes,Auditory,High,3
19,F,2.3,83,,Arts,Public,High,Low,High,Low,90,No,4,,7,No,No,,,2.3
,M,1.7,98,7,Law,Private,Low,,Low,High,35,No,7,Healthy,5,Yes,Yes,Visual,,1.7
22,M,4,88,12,Business,Public,Medium,High,Medium,Low,38,No,4,Balanced,8,Yes,No,Visual,High,1.3
22,,1.3,79,8,Science,Private,Medium,Low,Medium,Medium,100,,,Balanced,6,No,Yes,Kinesthetic,,3
20,,2.7,94,11,Engineering,Private,High,,Low,Low,73,,9,Balanced,7,No,Yes,Visual,Medium,
21,M,3.7,91,10,Science,,Low,Low,Low,High,78,No,7,Unhealthy,4,,,Auditory,Medium,4
21,F,2.7,88,15,Business,Private,Medium,Medium,Medium,High,91,Yes,4,,3,Yes,No,Auditory,Low,1
20,F,1.3,98,20,Engineering,Private,Low,High,,High,23,Yes,,Healthy,6,Yes,Yes,,High,3.7
18,M,1.3,97,12,Science,,Medium,Medium,High,High,65,No,,Unhealthy,9,Yes,Yes,Kinesthetic,Medium,1.3
19,M,2,98,20,Arts,Private,Medium,Low,Low,High,78,No,5,Healthy,8,,Yes,Auditory,Low,
18,M,3,95,18,Engineering,Public,,Medium,,High,64,No,7,Balanced,4,Yes,Yes,Auditory,Medium,4
21,,1.3,94,11,Science,,Low,Medium,,Low,74,No,6,Healthy,9,No,Yes,Visual,High,2.7
20,M,3,94,20,Science,Public,Low,,Medium,Medium,30,Yes,6,Healthy,8,Yes,,Kinesthetic,High,2.3
18,F,3.7,89,12,Business,Public,Medium,Low,Low,Medium,67,No,6,Healthy,7,No,Yes,Visual,Medium,1.3
22,F,4,92,,Business,Public,High,,,High,20,Yes,6,Unhealthy,9,No,Yes,Visual,Low,2
20,F,1,84,8,Business,Private,Low,Medium,,Medium,58,No,5,Unhealthy,,No,Yes,Kinesthetic,,3.7
20,,1,91,5,Law,Public,High,High,Medium,High,,Yes,,Balanced,9,Yes,Yes,Kinesthetic,Medium,3
,F,3.3,88,10,Arts,Public,High,Medium,Medium,High,27,No,7,Unhealthy,2,No,Yes,Auditory,High,2
18,F,,79,10,Engineering,Private,,Low,Medium,High,81,Yes,8,Unhealthy,8,No,Yes,Visual,High,1.3
20,F,3,,17,Business,Public,High,Medium,Medium,Low,85,Yes,8,Healthy,10,Yes,No,Auditory,Medium,2
19,M,3.7,87,,Law,Public,Medium,Low,Medium,Low,99,No,,Healthy,3,No,No,Kinesthetic,,1.7
22,F,3.7,71,12,Engineering,Private,High,Low,Medium,High,67,No,6,Balanced,7,Yes,Yes,Visual,,
19,M,2.3,,11,Science,Private,High,High,Medium,Medium,53,Yes,7,Balanced,4,No,,Auditory,Medium,2
,F,1,74,15,Business,Private,Medium,High,Medium,,74,Yes,,Unhealthy,9,No,No,Visual,High,1
,F,2,76,13,Law,,Medium,High,High,Medium,,No,5,Balanced,7,No,No,Auditory,High,2.7
22,M,1.7,78,,Business,Public,Medium,Low,Medium,Low,,Yes,5,Unhealthy,3,No,Yes,Auditory,High,1
19,M,3,83,14,Engineering,Public,Low,High,High,Medium,97,Yes,6,Unhealthy,7,Yes,Yes,,,2.7
18,F,2,71,7,Medicine,Public,Medium,Low,Medium,Medium,32,Yes,6,Healthy,7,Yes,No,Visual,Medium,1.7
21,M,1,86,8,Law,Public,Low,Low,High,Low,72,No,4,Balanced,3,Yes,No,Auditory,Low,1.7
20,F,,,12,Science,Private,High,Medium,Medium,High,24,No,7,Unhealthy,6,Yes,Yes,Visual,High,1
21,M,2.7,83,18,Arts,,Low,Medium,High,High,,,9,Unhealthy,4,No,Yes,Visual,Low,
19,F,3.7,80,18,,Public,Low,Medium,Low,Medium,83,Yes,4,Unhealthy,2,No,No,Kinesthetic,High,1.3
19,F,2,92,9,Business,Private,Medium,Medium,Medium,Medium,,Yes,7,Healthy,2,No,No,Auditory,High,3.7
21,F,,85,12,,Private,High,High,High,Low,,Yes,8,Balanced,6,,Yes,Visual,Low,1.7
19,F,3,,18,Engineering,,Medium,High,High,Medium,48,No,6,Healthy,2,Yes,No,Auditory,Medium,3.7
21,F,3,100,16,Business,Public,Low,,,High,72,No,4,Balanced,10,No,No,Kinesthetic,Low,
18,F,1.3,100,,Engineering,Private,Medium,Low,Low,Medium,93,Yes,4,Balanced,3,No,No,Visual,High,1
,F,3,97,12,Engineering,,High,Low,Medium,Low,97,No,6,Healthy,8,No,,Kinesthetic,Low,3
18,F,4,,17,Engineering,Private,Low,Medium,Low,High,,Yes,,Unhealthy,7,No,Yes,Auditory,Medium,2
21,M,4,96,10,Arts,Public,Low,Medium,Low,Medium,38,Yes,7,Healthy,5,,No,,High,3.3
22,F,,89,19,Law,Private,High,Medium,Low,Medium,69,No,7,Balanced,2,Yes,No,,High,1.7
20,M,2.7,83,15,,Private,Medium,,Low,Medium,83,No,9,Healthy,6,,Yes,Auditory,Low,2
18,,4,96,12,Arts,Private,Medium,High,High,Medium,78,No,4,Balanced,10,Yes,No,Auditory,Medium,3.3
21,F,3.3,71,9,Business,Public,Medium,High,High,High,92,No,8,Unhealthy,8,No,Yes,Kinesthetic,Low,1.7
20,F,1.7,85,,Engineering,,Medium,Low,High,Medium,55,No,5,,2,Yes,Yes,Kinesthetic,High,3.3
20,M,,95,20,Science,Private,,Medium,,Low,66,Yes,4,Unhealthy,9,,Yes,Visual,Low,2
18,F,1.3,,16,Arts,Public,Low,Low,High,Medium,91,No,8,,,No,No,Visual,Medium,1
22,M,1.7,82,18,,Private,Medium,High,High,High,83,Yes,9,Healthy,5,Yes,No,Kinesthetic,Medium,2
22,F,3.3,78,,Science,Private,Low,,Low,Low,39,Yes,9,Healthy,5,No,Yes,,,4
,F,3.3,95,19,Business,Private,Low,Medium,High,High,34,No,9,Balanced,3,Yes,Yes,,Medium,2.3
,M,,76,15,Science,Private,High,Low,Low,Medium,,No,8,Balanced,7,,Yes,Kinesthetic,Medium,2
18,,2.7,98,19,Science,Public,Low,Low,Medium,Medium,92,No,9,,6,Yes,Yes,Auditory,Medium,2.3
20,F,3.7,76,7,Law,Private,High,High,High,,91,No,6,Healthy,2,,No,Visual,High,2.3
18,F,2.3,91,15,,Public,Medium,High,Low,,85,Yes,9,Balanced,3,Yes,Yes,Auditory,Medium,2.3
20,,3.3,,18,Law,Public,Medium,Medium,Medium,Medium,66,Yes,6,Unhealthy,5,No,No,Kinesthetic,Low,3.3
19,M,1.3,87,,Engineering,Private,High,Medium,Low,Low,71,No,9,Balanced,6,No,Yes,Kinesthetic,Medium,1
20,F,1.7,75,19,Business,Public,Low,Low,High,Medium,35,,9,Healthy,4,No,Yes,Kinesthetic,Medium,
19,F,1,76,,Law,,High,High,High,High,84,No,4,Balanced,5,Yes,No,Auditory,Low,
22,M,3.3,81,15,Law,Private,High,High,High,High,72,Yes,8,Balanced,4,Yes,,Kinesthetic,Low,
19,F,1,73,15,Science,Public,Low,Medium,Medium,Low,51,No,4,Unhealthy,10,No,No,Visual,,3.7
18,F,1,98,12,Law,Public,Low,Low,Medium,,64,No,8,,8,Yes,,,,3
18,F,4,98,13,Law,Private,High,High,Medium,High,25,Yes,5,,4,No,No,Auditory,Medium,2.3
19,F,3.7,81,,Science,Private,Low,Low,Medium,Low,53,No,5,Balanced,4,Yes,Yes,Auditory,Low,4
19,,1.3,98,14,Medicine,Public,Low,High,Medium,Low,92,,6,Balanced,2,Yes,,Auditory,Low,2
19,F,1,86,6,Medicine,Private,Low,Medium,Low,Low,44,Yes,7,Unhealthy,10,Yes,Yes,Auditory,Medium,3.3
18,M,1.3,70,13,Science,Private,Medium,Medium,High,Low,86,No,9,Healthy,4,Yes,Yes,Auditory,Low,3.7
,F,2.7,80,10,Law,,Low,,Low,Medium,34,No,5,Healthy,6,,Yes,Visual,High,3.7
,,2.3,73,16,Science,Public,,High,Low,High,20,Yes,9,Unhealthy,4,Yes,Yes,Visual,High,1.3
18,M,1.3,,14,Arts,Private,Low,High,High,High,81,Yes,8,Healthy,10,No,Yes,Kinesthetic,Low,1.3
18,M,3,75,15,Law,Public,High,High,Medium,High,93,,4,Balanced,6,No,Yes,Visual,Medium,2
21,F,3.3,80,18,Science,Public,High,High,,High,,Yes,7,,,Yes,No,Auditory,Medium,2.7
19,M,3.7,82,9,Medicine,Public,High,Low,High,Medium,92,Yes,7,Unhealthy,2,Yes,No,Kinesthetic,,1.7
19,M,2.3,97,13,Law,,Medium,Medium,High,,83,No,4,Healthy,3,Yes,Yes,Kinesthetic,,1
19,M,3.7,93,,Science,Private,Low,Low,Medium,Medium,58,No,9,Unhealthy,3,Yes,Yes,Visual,Medium,1
22,F,1.3,93,20,Arts,Public,,High,Medium,High,80,Yes,7,Balanced,7,Yes,No,,Medium,1
18,F,3.7,91,11,Medicine,Private,Medium,,Low,High,77,Yes,9,Balanced,3,No,No,Kinesthetic,Medium,1.7
22,F,4,72,16,Law,Private,Low,Low,Low,High,71,No,7,,5,No,No,Visual,Medium,1
22,,2.3,85,,Arts,Public,High,High,Low,Medium,52,No,9,Unhealthy,4,Yes,Yes,Visual,Medium,3
19,F,4,,17,Business,Public,,Low,Medium,High,,Yes,4,Healthy,8,Yes,No,Auditory,High,3.7
20,,1,87,16,Medicine,Public,Medium,High,High,Medium,67,Yes,6,Balanced,8,No,No,Auditory,High,2.3
,M,1,91,19,Business,Public,Low,Low,Low,Low,91,No,9,Unhealthy,,Yes,Yes,Visual,Medium,3.7
